mu phi sigma rho nu
-0.3355 0.9609 0.1756 -0.4639 17
-0.4519 0.9625 0.1619 -0.3132 10
-0.2579 0.9573 0.2055 -0.1539 49
-0.3494 0.9716 0.1612 -0.1287 15
-0.3939 0.9759 0.1319 -0.3904 19
-0.4574 0.9643 0.1541 -0.3431 9
-0.4021 0.9592 0.1744 -0.3074 19
-0.3614 0.9667 0.1609 -0.3460 12
-0.4306 0.9576 0.1958 -0.3991 11
-0.4190 0.9584 0.1792 -0.3387 14
-0.4194 0.9661 0.1473 -0.2644 8
-0.3144 0.9517 0.1892 -0.2514 31
-0.3432 0.9546 0.2070 -0.2688 14
-0.3545 0.9667 0.1781 -0.3799 14
-0.4629 0.9738 0.1167 -0.1478 9
-0.3813 0.9487 0.2319 -0.2319 25
-0.3731 0.9663 0.1631 -0.4167 18
-0.4044 0.9782 0.1302 -0.1892 10
-0.3992 0.9609 0.1864 -0.1020 13
-0.3425 0.9592 0.1554 -0.3354 13
-0.3019 0.9574 0.1696 -0.1885 22
-0.3899 0.9555 0.1826 -0.2217 14
-0.3512 0.9622 0.1751 -0.2769 16
-0.3967 0.9708 0.1453 -0.3880 16
-0.4142 0.9746 0.1339 -0.3109 12
-0.3982 0.9482 0.1945 -0.2938 9
-0.4156 0.9543 0.1917 -0.3187 14
-0.4918 0.9792 0.1159 -0.0826 8
-0.4632 0.9633 0.1680 -0.3878 10
-0.3792 0.9465 0.1990 -0.1275 17
-0.3509 0.9620 0.1720 -0.2851 13
-0.3063 0.9518 0.2120 -0.3583 39
-0.3752 0.9599 0.1716 -0.2968 13
-0.3963 0.9634 0.1824 -0.2788 21
-0.4367 0.9698 0.1502 -0.2931 13
-0.4605 0.9465 0.2001 -0.2728 11
-0.4370 0.9648 0.1537 -0.4696 9
-0.3900 0.9700 0.1720 -0.2154 27
-0.4508 0.9636 0.1786 -0.1921 12
-0.3538 0.9567 0.1816 -0.4120 14
-0.4456 0.9460 0.1890 -0.4013 9
-0.4211 0.9470 0.1996 -0.3630 16
-0.3125 0.9545 0.1921 -0.2491 26
-0.4346 0.9461 0.2135 -0.4336 11
-0.4033 0.9480 0.1859 -0.2303 11
-0.3062 0.9641 0.1633 -0.3878 12
-0.3876 0.9716 0.1519 -0.2693 11
-0.3380 0.9670 0.1562 -0.3076 34
-0.2846 0.9529 0.2081 -0.3383 21
-0.4365 0.9577 0.1724 -0.4305 11
-0.3368 0.9502 0.1863 -0.3193 11
-0.3346 0.9682 0.1625 -0.2843 16
-0.4847 0.9683 0.1480 -0.3398 8
-0.3487 0.9583 0.1737 -0.4528 14
-0.3684 0.9602 0.1678 -0.2235 13
-0.4573 0.9758 0.1344 -0.3927 9
-0.4302 0.9625 0.1684 -0.2825 13
-0.3901 0.9694 0.1519 -0.4326 10
-0.4094 0.9699 0.1440 -0.1955 11
-0.4352 0.9634 0.1635 -0.2646 16
-0.4363 0.9599 0.1771 -0.4729 12
-0.3168 0.9601 0.1677 -0.1823 17
-0.3329 0.9655 0.1655 -0.3941 15
-0.4289 0.9630 0.1550 -0.2042 10
-0.3224 0.9675 0.1541 -0.2109 27
-0.3946 0.9556 0.1768 -0.2431 12
-0.3591 0.9574 0.2065 -0.2886 11
-0.2762 0.9532 0.1875 -0.3161 18
-0.4532 0.9430 0.1911 -0.3711 14
-0.4342 0.9682 0.1554 -0.2412 15
-0.4138 0.9596 0.1774 -0.3519 12
-0.4117 0.9735 0.1431 -0.3701 9
-0.3792 0.9618 0.1704 -0.1508 16
-0.4495 0.9605 0.1690 -0.1858 14
-0.5047 0.9712 0.1452 -0.3407 7
-0.4662 0.9526 0.2127 -0.3023 10
-0.4272 0.9752 0.1399 -0.1215 10
-0.4762 0.9273 0.2524 -0.4363 12
-0.3467 0.9699 0.1731 -0.2146 30
-0.4474 0.9508 0.1745 -0.2526 8
-0.3528 0.9726 0.1317 -0.3477 13
-0.3384 0.9659 0.1630 -0.2364 17
-0.4054 0.9677 0.1714 -0.3569 15
-0.4186 0.9621 0.1702 -0.2056 8
-0.4483 0.9592 0.2011 -0.1512 10
-0.4515 0.9615 0.1637 -0.3628 9
-0.2699 0.9632 0.1713 -0.3778 20
-0.4182 0.9639 0.1533 -0.2999 9
-0.3575 0.9675 0.1506 -0.2863 11
-0.3633 0.9496 0.2000 -0.1684 18
-0.3803 0.9640 0.1427 -0.2054 12
-0.3348 0.9632 0.1534 -0.2852 15
-0.3424 0.9785 0.1505 -0.4087 15
-0.4399 0.9767 0.1331 -0.4191 9
-0.3293 0.9594 0.1811 -0.3529 24
-0.5281 0.9487 0.1920 -0.1963 10
-0.3602 0.9695 0.1489 -0.3405 13
-0.4057 0.9602 0.1792 -0.2420 14
-0.4130 0.9724 0.1412 -0.3063 12
-0.3343 0.9524 0.1985 -0.3036 16
-0.3871 0.9644 0.1577 -0.3127 18
-0.2957 0.9556 0.1682 -0.3247 23
-0.3912 0.9693 0.1473 -0.4572 9
-0.4072 0.9526 0.1919 -0.3315 13
-0.4443 0.9613 0.1943 -0.3307 10
-0.4085 0.9518 0.1958 -0.1683 10
-0.3777 0.9505 0.2026 -0.3091 25
-0.3584 0.9641 0.1505 -0.2721 17
-0.3559 0.9614 0.1606 -0.3046 10
-0.4852 0.9702 0.1626 -0.3082 10
-0.4111 0.9713 0.1470 -0.3765 12
-0.4828 0.9682 0.1534 -0.3328 8
-0.3994 0.9629 0.1569 -0.3334 13
-0.3193 0.9685 0.1489 -0.1994 20
-0.3819 0.9582 0.1649 -0.3558 15
-0.4353 0.9650 0.1744 -0.2731 13
-0.5192 0.9680 0.1678 -0.4957 8
-0.4645 0.9678 0.1609 -0.3126 8
-0.3389 0.9660 0.1708 -0.2790 20
-0.4244 0.9529 0.1892 -0.2122 10
-0.3470 0.9819 0.1303 -0.3605 10
-0.3873 0.9572 0.2173 -0.4460 16
-0.3760 0.9449 0.2224 -0.3689 18
-0.4130 0.9547 0.1926 -0.2021 21
-0.3947 0.9505 0.2032 -0.2634 18
-0.3625 0.9531 0.1835 -0.2939 14
-0.4318 0.9750 0.1410 -0.3056 10
-0.4310 0.9588 0.1752 -0.3776 11
-0.3780 0.9700 0.1611 -0.3580 10
-0.3704 0.9683 0.1491 -0.4117 12
-0.4296 0.9525 0.1622 -0.2602 14
-0.3893 0.9553 0.1935 -0.1946 15
-0.3153 0.9569 0.1890 -0.3352 22
-0.4066 0.9500 0.2119 -0.2533 10
-0.3171 0.9575 0.2100 -0.2671 19
-0.4605 0.9619 0.1780 -0.3072 10
-0.3437 0.9486 0.2053 -0.1865 18
-0.3328 0.9772 0.1435 -0.2331 18
-0.3586 0.9690 0.1487 -0.3543 18
-0.3458 0.9627 0.1559 -0.3223 13
-0.3975 0.9628 0.1720 -0.3292 13
-0.4267 0.9501 0.2048 -0.4049 15
-0.3736 0.9454 0.2099 -0.3956 11
-0.3699 0.9316 0.2213 -0.2532 24
-0.3327 0.9648 0.1783 -0.2302 20
-0.3603 0.9620 0.1696 -0.2847 14
-0.3508 0.9723 0.1452 -0.3832 20
-0.4515 0.9651 0.1536 -0.2380 11
-0.3516 0.9680 0.1775 -0.3235 16
-0.3599 0.9676 0.1648 -0.3789 13
-0.3705 0.9440 0.1945 -0.4382 15
-0.4390 0.9442 0.1832 -0.3534 10
-0.3917 0.9693 0.1543 -0.2602 13
-0.3868 0.9600 0.1815 -0.1285 17
-0.4310 0.9778 0.1385 -0.1415 9
-0.3502 0.9478 0.1981 -0.1599 16
-0.4023 0.9652 0.1636 -0.2122 9
-0.3915 0.9590 0.1697 -0.2386 14
-0.3231 0.9469 0.1870 -0.2490 12
-0.4384 0.9683 0.1590 -0.2117 11
-0.4663 0.9649 0.1518 -0.0362 8
-0.4296 0.9732 0.1423 -0.2310 12
-0.3637 0.9582 0.1726 -0.4253 12
-0.4876 0.9739 0.1373 -0.3919 7
-0.4131 0.9639 0.1575 -0.3030 14
-0.3302 0.9621 0.1896 -0.3690 24
-0.3675 0.9549 0.2177 -0.3985 19
-0.3663 0.9628 0.1679 -0.2657 14
-0.3912 0.9750 0.1406 -0.3834 11
-0.3645 0.9528 0.1935 -0.1485 14
-0.4145 0.9622 0.1778 -0.3210 10
-0.3842 0.9704 0.1559 -0.3805 15
-0.4644 0.9584 0.1740 -0.3574 11
-0.3593 0.9601 0.1660 -0.3294 14
-0.4531 0.9669 0.1706 -0.3223 11
-0.3704 0.9568 0.1727 -0.5191 14
-0.3426 0.9665 0.1746 -0.2496 13
-0.4429 0.9554 0.1993 -0.3706 11
-0.3594 0.9637 0.1593 -0.2860 13
-0.3940 0.9582 0.1945 -0.3048 15
-0.4100 0.9493 0.1908 -0.3344 12
-0.4361 0.9633 0.1501 -0.2549 12
-0.4475 0.9644 0.1483 -0.4051 9
-0.4125 0.9361 0.2127 -0.3405 14
-0.3918 0.9602 0.1709 -0.3600 14
-0.4552 0.9699 0.1791 -0.3585 10
-0.3676 0.9635 0.1561 -0.4201 20
-0.3835 0.9627 0.1728 -0.3315 15
-0.3962 0.9533 0.1711 -0.3008 11
-0.3987 0.9724 0.1457 -0.3159 13
-0.5383 0.9583 0.1900 -0.3259 7
-0.3311 0.9697 0.1768 -0.2334 30
-0.5065 0.9683 0.1574 -0.3748 10
-0.3493 0.9565 0.1814 -0.3658 13
-0.3965 0.9481 0.2108 -0.1799 12
-0.4099 0.9725 0.1489 -0.4099 12
-0.4684 0.9690 0.1399 -0.2594 8
-0.4667 0.9534 0.1932 -0.4377 12
-0.4409 0.9566 0.1763 -0.1874 9
-0.3631 0.9725 0.1573 -0.2714 13
-0.2977 0.9625 0.1792 -0.3991 20
-0.3532 0.9620 0.1881 -0.3111 23
-0.3391 0.9525 0.1894 -0.2726 16
-0.3832 0.9594 0.1625 -0.3226 14
-0.3180 0.9673 0.1616 -0.3438 21
-0.3763 0.9661 0.1629 -0.2348 23
-0.4716 0.9519 0.1696 -0.3177 11
-0.3159 0.9580 0.1850 -0.3477 16
-0.4256 0.9687 0.1714 -0.3813 12
-0.4224 0.9581 0.1876 -0.4045 10
-0.4210 0.9595 0.1911 -0.2997 13
-0.4215 0.9683 0.1471 -0.1895 11
-0.4185 0.9541 0.2077 -0.3524 16
-0.3927 0.9681 0.1569 -0.3341 14
-0.4493 0.9623 0.1575 -0.1857 9
-0.2688 0.9507 0.1949 -0.2937 43
-0.4364 0.9765 0.1325 -0.2288 11
-0.3618 0.9533 0.1829 -0.3172 20
-0.4160 0.9585 0.1871 -0.2957 10
-0.3987 0.9701 0.1647 -0.2646 12
-0.3866 0.9703 0.1463 -0.2296 19
-0.2974 0.9678 0.1534 -0.4281 22
-0.3671 0.9710 0.1658 -0.5321 16
-0.3205 0.9781 0.1250 -0.3398 21
-0.3655 0.9637 0.1764 -0.3363 17
-0.3399 0.9734 0.1337 -0.3165 14
-0.5048 0.9509 0.1841 -0.3168 8
-0.3740 0.9521 0.2049 -0.2931 17
-0.4068 0.9619 0.1604 -0.2694 14
-0.3713 0.9407 0.2015 -0.3235 11
-0.4543 0.9499 0.1865 -0.3621 9
-0.2755 0.9150 0.2727 -0.3197 47
-0.4925 0.9684 0.1384 -0.2855 8
-0.4019 0.9609 0.1829 -0.3270 12
-0.3517 0.9776 0.1331 -0.2126 13
-0.3813 0.9444 0.2048 -0.3726 16
-0.4567 0.9675 0.1488 -0.3112 11
-0.3310 0.9674 0.1595 -0.2496 14
-0.3448 0.9622 0.1773 -0.1881 13
-0.3871 0.9747 0.1483 -0.3926 9
-0.4544 0.9681 0.1689 -0.2607 12
-0.4036 0.9669 0.1530 -0.3591 13
-0.3392 0.9446 0.2240 -0.1516 16
-0.3930 0.9653 0.1643 -0.3099 13
-0.3657 0.9615 0.1637 -0.5129 11
-0.3462 0.9637 0.1839 -0.3006 11
-0.4216 0.9713 0.1550 -0.2622 12
-0.3963 0.9512 0.1899 -0.2975 14
-0.4148 0.9457 0.2030 -0.3476 13
-0.2947 0.9701 0.1595 -0.3251 15
-0.3774 0.9598 0.1661 -0.3899 18
-0.3399 0.9556 0.2082 -0.2393 29
-0.3247 0.9616 0.1657 -0.1918 19
-0.4512 0.9469 0.1714 -0.3108 12
-0.2811 0.9421 0.2095 -0.1942 22
-0.3642 0.9578 0.2026 -0.2759 23
-0.4761 0.9742 0.1377 -0.3879 10
-0.3371 0.9654 0.1606 -0.2027 18
-0.3620 0.9407 0.2218 -0.1313 25
-0.3565 0.9511 0.1768 -0.4004 14
-0.3591 0.9639 0.1713 -0.2787 12
-0.3689 0.9708 0.1563 -0.2572 15
-0.4255 0.9747 0.1449 -0.4274 8
-0.4574 0.9671 0.1574 -0.2713 11
-0.3481 0.9733 0.1477 -0.3011 17
-0.3434 0.9705 0.1591 -0.0944 20
-0.2964 0.9648 0.1643 -0.2526 21
-0.3113 0.9603 0.1481 -0.4023 15
-0.3996 0.9691 0.1431 -0.3546 11
-0.3403 0.9629 0.1583 -0.3557 14
-0.3751 0.9708 0.1665 -0.3443 13
-0.4711 0.9611 0.1875 -0.3678 9
-0.4725 0.9553 0.1788 -0.2682 10
-0.3595 0.9478 0.1909 -0.2260 16
-0.4389 0.9675 0.1539 -0.3295 11
-0.4896 0.9545 0.2053 -0.2422 10
-0.3164 0.9358 0.2309 -0.4143 39
-0.3577 0.9465 0.2126 -0.4406 15
-0.4988 0.9726 0.1364 -0.2476 9
-0.4329 0.9503 0.2070 -0.3838 13
-0.3612 0.9761 0.1287 -0.2219 18
-0.4279 0.9559 0.1646 -0.2854 13
-0.3794 0.9639 0.1658 -0.1558 14
-0.3786 0.9776 0.1356 -0.3283 12
-0.4166 0.9683 0.1500 -0.3091 10
-0.3898 0.9525 0.1758 -0.3564 13
-0.3773 0.9651 0.1608 -0.2726 11
-0.4286 0.9727 0.1572 -0.3504 18
-0.3677 0.9605 0.1724 -0.4242 16
-0.4547 0.9711 0.1424 -0.1484 9
-0.3512 0.9505 0.2073 -0.1885 32
-0.4658 0.9700 0.1410 -0.4468 8
-0.4655 0.9642 0.1510 -0.4929 10
-0.3547 0.9748 0.1420 -0.3085 12
-0.4306 0.9458 0.1927 -0.3658 11
-0.4399 0.9794 0.1278 -0.2718 8
-0.4013 0.9688 0.1580 -0.3628 11
-0.3981 0.9670 0.1600 -0.3707 13
-0.3749 0.9690 0.1550 -0.3571 16
-0.4442 0.9665 0.1493 -0.3617 11
-0.3323 0.9574 0.1699 -0.2980 18
-0.4275 0.9627 0.1897 -0.3242 12
-0.3989 0.9723 0.1541 -0.2381 12
-0.4223 0.9551 0.1645 -0.3610 12
-0.4197 0.9631 0.1761 -0.3026 15
-0.3445 0.9679 0.1639 -0.3129 24
-0.5009 0.9607 0.1889 -0.3271 10
-0.3801 0.9528 0.1654 -0.4255 12
-0.4455 0.9683 0.1503 -0.3866 11
-0.3461 0.9659 0.1481 -0.1979 12
-0.3666 0.9698 0.1599 -0.3261 12
-0.4215 0.9708 0.1404 -0.2370 10
-0.4940 0.9678 0.1537 -0.3031 8
-0.3897 0.9562 0.1786 -0.3085 17
-0.4102 0.9612 0.1633 -0.4530 16
-0.3877 0.9698 0.1295 -0.2981 11
-0.4171 0.9505 0.1692 -0.0451 10
-0.4435 0.9396 0.2152 -0.3418 14
-0.3989 0.9577 0.1646 -0.1827 11
-0.3462 0.9553 0.1654 -0.2644 14
-0.3768 0.9666 0.1588 -0.4930 10
-0.4275 0.9656 0.1435 -0.2850 8
-0.3508 0.9652 0.1722 -0.2461 18
-0.3739 0.9518 0.1823 -0.1912 17
-0.4494 0.9697 0.1573 -0.4024 9
-0.3519 0.9524 0.1738 -0.2908 16
-0.3729 0.9298 0.2587 -0.1541 25
-0.4072 0.9588 0.1653 -0.1702 11
-0.4469 0.9613 0.1984 -0.4045 11
-0.4351 0.9569 0.1598 -0.2222 12
-0.2940 0.9557 0.1753 -0.3309 29
-0.3723 0.9780 0.1291 -0.2622 19
-0.3488 0.9679 0.1488 -0.1785 11
-0.3188 0.9378 0.2279 -0.2684 32
-0.3917 0.9662 0.1526 -0.4072 11
-0.3896 0.9653 0.1574 -0.2387 14
-0.3944 0.9629 0.1528 -0.3095 17
-0.2933 0.9692 0.1471 -0.3240 13
-0.3546 0.9405 0.2169 -0.3090 22
-0.5128 0.9633 0.1571 -0.3184 8
-0.4216 0.9748 0.1481 -0.2353 10
-0.3406 0.9722 0.1538 -0.3505 14
-0.4072 0.9549 0.1714 -0.3451 11
-0.4057 0.9636 0.1526 -0.3223 10
-0.3669 0.9702 0.1523 -0.3335 13
-0.3007 0.9694 0.1488 -0.4456 19
-0.4112 0.9631 0.1700 -0.2733 12
-0.4110 0.9640 0.1702 -0.2356 10
-0.2933 0.9490 0.1930 -0.3630 39
-0.3001 0.9616 0.1872 -0.2254 16
-0.3733 0.9562 0.1680 -0.2790 10
-0.2292 0.9660 0.1694 -0.2157 27
-0.4838 0.9706 0.1510 -0.3320 12
-0.3823 0.9765 0.1400 -0.1542 14
-0.4104 0.9426 0.2173 -0.4090 13
-0.4106 0.9585 0.2056 -0.4626 15
-0.4312 0.9627 0.1532 -0.2800 11
-0.4164 0.9588 0.1833 -0.3252 8
-0.4631 0.9696 0.1660 -0.4704 10
-0.3785 0.9608 0.1674 -0.1928 10
-0.4475 0.9461 0.2089 -0.4448 11
-0.4305 0.9686 0.1623 -0.1885 10
-0.3996 0.9717 0.1473 -0.1333 11
-0.3787 0.9543 0.1800 -0.3942 18
-0.3869 0.9607 0.1902 -0.3791 13
-0.4048 0.9706 0.1497 -0.3800 9
-0.3857 0.9785 0.1337 -0.3014 12
-0.3941 0.9638 0.1696 -0.2171 10
-0.3522 0.9636 0.1693 -0.2694 16
-0.3818 0.9729 0.1491 -0.1477 17
-0.4022 0.9572 0.1770 -0.3529 14
-0.3262 0.9477 0.2194 -0.4236 19
-0.4197 0.9621 0.1426 -0.1862 10
-0.3543 0.9574 0.1731 -0.4030 16
-0.3109 0.9538 0.1866 -0.2658 12
-0.3414 0.9508 0.1969 -0.2812 21
-0.3666 0.9592 0.1596 -0.2217 16
-0.4040 0.9578 0.1905 -0.2067 17
-0.4129 0.9628 0.1574 -0.2356 11
-0.4298 0.9695 0.1492 -0.3193 14
-0.3166 0.9628 0.1529 -0.2867 11
-0.4104 0.9583 0.1817 -0.2027 17
-0.3699 0.9109 0.2285 -0.2973 17
-0.3661 0.9803 0.1239 -0.1871 16
-0.3644 0.9676 0.1588 -0.1757 10
-0.3931 0.9755 0.1386 -0.3546 12
-0.3640 0.9492 0.2075 -0.2618 15
-0.3470 0.9547 0.1889 -0.2016 17
-0.3799 0.9667 0.1573 -0.3880 12
-0.4633 0.9590 0.1846 -0.4747 9
-0.3915 0.9588 0.1698 -0.1074 21
-0.4516 0.9498 0.1986 -0.4885 15
-0.3293 0.9736 0.1433 -0.3281 15
-0.3087 0.9542 0.1975 -0.1998 25
-0.4089 0.9605 0.1717 -0.3186 17
-0.3543 0.9581 0.1766 -0.2950 12
-0.2753 0.9661 0.1579 -0.2838 22
-0.3945 0.9636 0.1519 -0.2011 12
-0.3003 0.9703 0.1611 -0.3022 20
-0.4205 0.9507 0.1865 -0.2702 13
-0.3883 0.9446 0.2096 -0.4150 16
-0.3923 0.9665 0.1505 -0.5193 12
-0.3206 0.9729 0.1386 -0.4036 15
-0.3403 0.9600 0.1729 -0.4511 19
-0.3285 0.9686 0.1512 -0.2034 11
-0.4473 0.9667 0.1579 -0.2642 8
-0.4088 0.9340 0.2164 -0.4237 14
-0.5089 0.9558 0.1806 -0.3663 7
-0.3565 0.9687 0.1511 -0.3059 17
-0.4971 0.9572 0.1676 -0.3568 8
-0.2889 0.9673 0.1701 -0.3100 46
-0.3183 0.9627 0.1663 -0.3721 17
-0.3667 0.9557 0.1629 -0.2080 12
-0.4152 0.9645 0.1616 -0.2071 9
-0.3705 0.9621 0.1812 -0.4390 13
-0.4160 0.9551 0.1879 -0.2779 17
-0.4230 0.9640 0.1554 -0.3907 11
-0.4407 0.9572 0.1682 -0.1260 10
-0.3272 0.9640 0.1640 -0.3392 19
-0.3556 0.9735 0.1442 -0.2177 13
-0.4168 0.9699 0.1534 -0.3979 15
-0.4349 0.9691 0.1520 -0.1821 9
-0.3624 0.9510 0.1734 -0.2500 18
-0.3081 0.9636 0.1703 -0.2036 19
-0.3613 0.9466 0.2018 -0.2345 17
-0.3109 0.9694 0.1552 -0.2763 14
-0.4193 0.9409 0.2128 -0.3254 14
-0.3843 0.9501 0.2055 -0.3592 17
-0.3732 0.9707 0.1491 -0.3597 15
-0.4325 0.9400 0.2162 -0.2111 13
-0.3341 0.9771 0.1400 -0.2856 9
-0.3432 0.9708 0.1465 -0.2650 16
-0.4827 0.9622 0.1670 -0.3258 9
-0.3667 0.9564 0.2272 -0.3473 13
-0.5297 0.9658 0.1415 -0.2802 9
-0.4301 0.9817 0.1267 -0.2629 13
-0.3644 0.9608 0.1880 -0.4094 12
-0.3976 0.9645 0.1601 -0.3497 15
-0.3865 0.9631 0.1644 -0.4796 13
-0.3908 0.9701 0.1759 -0.2934 16
-0.3655 0.9453 0.2179 -0.2628 19
-0.3690 0.9676 0.1460 -0.2897 10
-0.3473 0.9706 0.1417 -0.4043 24
-0.4623 0.9670 0.1466 -0.3292 10
-0.4294 0.9673 0.1411 -0.2784 11
-0.3623 0.9685 0.1672 -0.4324 14
-0.3527 0.9612 0.1883 -0.1955 15
-0.3776 0.9627 0.1637 -0.3088 16
-0.4323 0.9805 0.1227 -0.0418 10
-0.4481 0.9731 0.1426 -0.3189 13
-0.2736 0.9600 0.1779 -0.3923 20
-0.4437 0.9656 0.1636 -0.3319 10
-0.2822 0.9456 0.2141 -0.3120 47
-0.3747 0.9503 0.2004 -0.2529 15
-0.4008 0.9683 0.1487 -0.1897 11
-0.4636 0.9667 0.1731 -0.2516 9
-0.4473 0.9468 0.1935 -0.2017 9
-0.4000 0.9620 0.1735 -0.2341 10
-0.3715 0.9696 0.1362 -0.3046 23
-0.4492 0.9676 0.1359 -0.2064 11
-0.4052 0.9652 0.1663 -0.3440 17
-0.3703 0.9323 0.2572 -0.3581 21
-0.4523 0.9516 0.1927 -0.4362 9
-0.3921 0.9560 0.2120 -0.3414 20
-0.4184 0.9574 0.1910 -0.2592 10
-0.3589 0.9649 0.1555 -0.3566 18
-0.4064 0.9658 0.1742 -0.1909 12
-0.3449 0.9766 0.1365 -0.2564 16
-0.2446 0.9526 0.1939 -0.2938 46
-0.4371 0.9712 0.1436 -0.3407 13
-0.3317 0.9492 0.2324 -0.4182 13
-0.4136 0.9671 0.1482 -0.2124 14
-0.3504 0.9626 0.1855 -0.2896 15
-0.4237 0.9609 0.1833 -0.3095 9
-0.3598 0.9438 0.1886 -0.3103 11
-0.4520 0.9612 0.1555 -0.3530 9
-0.4822 0.9668 0.1564 -0.2867 9
-0.4010 0.9667 0.1623 -0.4611 19
-0.3230 0.9536 0.1640 -0.1502 17
-0.3297 0.9404 0.1982 -0.4143 17
-0.3295 0.9593 0.1613 -0.3688 21
-0.3634 0.9626 0.1762 -0.4161 14
-0.4006 0.9738 0.1471 -0.3021 11
-0.3465 0.9667 0.1648 -0.4033 26
-0.3644 0.9675 0.1551 -0.2924 14
-0.4235 0.9703 0.1355 -0.2070 11
-0.3944 0.9750 0.1323 -0.1429 13
-0.5309 0.9709 0.1580 -0.2618 7
-0.2925 0.9612 0.1579 -0.3034 17
-0.3956 0.9659 0.1456 -0.3105 12
-0.2424 0.9622 0.1817 -0.3617 38
-0.3992 0.9462 0.1944 -0.2113 13
-0.4350 0.9538 0.1821 -0.2674 11
-0.4178 0.9629 0.1647 -0.3506 12
-0.3710 0.9704 0.1717 -0.2934 20
-0.3049 0.9520 0.1950 -0.2966 21
-0.4204 0.9698 0.1659 -0.4108 15
-0.3253 0.9647 0.1611 -0.4716 19
-0.2751 0.9575 0.1724 -0.3357 30
-0.3280 0.9593 0.1906 -0.3150 15
-0.2298 0.9584 0.1799 -0.4070 44
-0.4376 0.9533 0.1957 -0.2184 9
-0.4062 0.9037 0.2869 -0.3035 12
-0.2813 0.9626 0.1636 -0.3053 20
-0.4324 0.9465 0.1863 -0.1593 10
-0.5049 0.9633 0.1473 -0.2587 8
-0.4203 0.9829 0.1202 -0.3373 10
-0.4234 0.9601 0.1556 -0.2029 13
-0.4232 0.9570 0.1639 -0.2678 13
-0.3579 0.9705 0.1463 -0.3365 12
-0.4083 0.9640 0.1640 -0.3017 11
-0.4341 0.9837 0.1074 -0.1629 9
-0.4215 0.9720 0.1501 -0.1363 9
-0.4795 0.9569 0.1906 -0.4693 11
-0.4498 0.9494 0.1921 -0.2747 10
-0.4699 0.9772 0.1318 -0.2390 8
-0.4642 0.9650 0.1685 -0.3469 9
-0.3451 0.9553 0.1915 -0.3307 13
-0.4137 0.9775 0.1231 -0.4452 13
-0.3817 0.9664 0.1576 -0.2228 11
-0.3617 0.9619 0.1632 -0.3178 20
-0.4076 0.9668 0.1702 -0.1820 13
-0.4548 0.9519 0.1853 -0.3254 9
-0.3729 0.9531 0.1929 -0.4495 14
-0.4064 0.9591 0.1717 -0.2052 16
-0.4247 0.9558 0.1841 -0.4446 15
-0.4614 0.9619 0.1847 -0.1346 10
-0.3121 0.9737 0.1328 -0.3811 13
-0.4243 0.9584 0.1672 -0.3371 13
-0.4450 0.9727 0.1476 -0.2897 11
-0.4435 0.9622 0.1876 -0.4007 11
-0.4210 0.9685 0.1623 -0.2899 12
-0.4199 0.9502 0.2157 -0.3831 12
-0.4263 0.9596 0.1759 -0.2504 11
-0.4004 0.9303 0.2352 -0.3003 10
-0.4266 0.9724 0.1483 -0.5036 10
-0.3945 0.9496 0.2117 -0.2794 15
-0.3496 0.9628 0.1692 -0.4322 14
-0.4961 0.9653 0.1711 -0.4717 7
-0.4024 0.9570 0.1844 -0.3242 13
-0.3980 0.9636 0.1666 -0.4546 11
-0.3902 0.9650 0.1843 -0.2526 13
-0.3050 0.9580 0.1635 -0.3700 18
-0.4149 0.9652 0.1864 -0.3983 10
-0.4614 0.9714 0.1623 -0.3816 11
-0.3455 0.9726 0.1467 -0.3633 18
-0.3024 0.9607 0.1972 -0.3530 15
-0.4419 0.9570 0.1741 -0.3879 7
-0.3694 0.9433 0.1898 -0.2266 15
-0.3657 0.9650 0.1563 -0.2684 13
-0.3407 0.9507 0.1803 -0.2347 14
-0.5260 0.9614 0.1362 -0.2075 9
-0.4110 0.9656 0.1650 -0.4573 11
-0.4258 0.9669 0.1615 -0.2532 11
-0.4732 0.9600 0.1948 -0.3968 8
-0.3721 0.9596 0.1643 -0.2884 19
-0.4389 0.9520 0.1993 -0.3450 9
-0.4806 0.9577 0.1829 -0.2553 11
-0.4202 0.9587 0.2049 -0.2619 13
-0.2822 0.9536 0.1889 -0.2637 33
-0.3444 0.9472 0.1951 -0.3557 18
-0.3170 0.9656 0.1655 -0.2232 15
-0.3884 0.9649 0.1691 -0.3312 13
-0.3852 0.9676 0.1388 -0.2120 11
-0.3547 0.9476 0.2127 -0.3205 28
-0.3103 0.9357 0.2331 -0.0564 20
-0.3639 0.9504 0.1795 -0.3131 11
-0.3864 0.9690 0.1471 -0.3649 15
-0.4750 0.9583 0.1920 -0.3618 9
-0.3794 0.9592 0.1591 -0.2772 11
-0.4999 0.9713 0.1435 -0.4201 8
-0.3711 0.9695 0.1459 -0.4781 14
-0.4771 0.9657 0.1527 -0.2964 9
-0.3617 0.9681 0.1595 -0.0041 13
-0.3537 0.9657 0.1620 -0.3438 14
-0.4675 0.9615 0.1680 -0.3808 9
-0.4204 0.9718 0.1455 -0.2360 12
-0.3767 0.9648 0.1889 -0.2935 17
-0.4611 0.9584 0.1685 -0.3271 9
-0.4542 0.9445 0.2078 -0.2612 13
-0.3761 0.9658 0.1628 -0.3491 9
-0.3876 0.9599 0.1661 -0.3775 13
