mu phi sigma rho nu
-0.4045 0.9681 0.1426 -0.2095 12
-0.3743 0.9589 0.1549 -0.4229 12
-0.4272 0.9717 0.1387 -0.2582 11
-0.3768 0.9659 0.1729 -0.2064 10
-0.4381 0.9634 0.1619 -0.3714 14
-0.3393 0.9487 0.2005 -0.1588 17
-0.5020 0.9617 0.1513 -0.2972 8
-0.4254 0.9677 0.1611 -0.3601 13
-0.5523 0.9782 0.1329 -0.3436 7
-0.3577 0.9505 0.1949 -0.2815 14
-0.4106 0.9720 0.1521 -0.2102 9
-0.3114 0.9693 0.1513 -0.4103 20
-0.3453 0.9657 0.1614 -0.3493 15
-0.3672 0.9700 0.1423 -0.2071 10
-0.4236 0.9694 0.1484 -0.1740 12
-0.3516 0.9637 0.1734 -0.2158 19
-0.5044 0.9568 0.1878 -0.4906 7
-0.4204 0.9751 0.1391 -0.1805 12
-0.2346 0.9550 0.2039 -0.2846 33
-0.4673 0.9755 0.1195 -0.2789 9
-0.3521 0.9601 0.1737 -0.3659 12
-0.3684 0.9576 0.1753 -0.4097 12
-0.5092 0.9682 0.1465 -0.4013 9
-0.4135 0.9729 0.1475 -0.3207 14
-0.2997 0.9411 0.2213 -0.1730 26
-0.3962 0.9565 0.1803 -0.4340 12
-0.4089 0.9650 0.1665 -0.2156 14
-0.3534 0.9714 0.1262 -0.2356 15
-0.4458 0.9710 0.1514 -0.2896 9
-0.3828 0.9644 0.1717 -0.2230 24
-0.3156 0.9622 0.1564 -0.4590 21
-0.3957 0.9613 0.1738 -0.3602 17
-0.4213 0.9520 0.1870 -0.2072 13
