mu phi sigma nu
-0.4651 0.9564 0.1527 9
-0.3570 0.9585 0.1476 12
-0.4371 0.9563 0.1526 10
-0.4908 0.9521 0.1521 10
-0.4576 0.9539 0.1498 9
-0.4295 0.9517 0.1456 12
-0.5163 0.9715 0.1497 10
-0.3992 0.9586 0.1523 12
-0.4146 0.9580 0.1540 8
-0.3941 0.9588 0.1545 13
-0.5538 0.9489 0.1576 8
-0.5870 0.9474 0.1611 12
-0.4295 0.9479 0.1554 12
-0.4934 0.9622 0.1568 8
-0.4202 0.9629 0.1532 13
-0.4469 0.9412 0.1599 9
-0.5010 0.9449 0.1564 10
-0.4883 0.9566 0.1606 10
-0.4922 0.9493 0.1576 12
-0.4493 0.9545 0.1547 8
-0.5271 0.9475 0.1519 9
-0.4473 0.9604 0.1567 14
-0.4963 0.9477 0.1581 9
-0.4898 0.9551 0.1528 12
-0.4763 0.9680 0.1540 11
-0.5793 0.9593 0.1548 13
-0.4374 0.9590 0.1542 9
-0.4309 0.9560 0.1548 9
-0.3924 0.9616 0.1569 10
-0.4851 0.9584 0.1567 11
-0.5700 0.9550 0.1565 11
-0.4019 0.9530 0.1567 11
-0.6013 0.9579 0.1607 14
-0.5632 0.9570 0.1612 12
-0.4542 0.9571 0.1543 9
-0.6245 0.9581 0.1529 9
-0.3751 0.9628 0.1531 8
-0.4782 0.9521 0.1583 11
-0.4444 0.9555 0.1602 10
-0.2985 0.9544 0.1555 13
-0.3033 0.9534 0.1561 13
-0.3673 0.9518 0.1625 13
-0.4381 0.9406 0.1655 12
-0.5069 0.9447 0.1695 11
-0.3661 0.9567 0.1643 12
-0.4255 0.9629 0.1652 11
-0.5848 0.9573 0.1639 14
-0.4370 0.9619 0.1628 18
-0.4416 0.9467 0.1639 12
-0.3733 0.9638 0.1637 12
-0.4531 0.9667 0.1656 11
-0.6009 0.9531 0.1587 13
-0.4558 0.9607 0.1621 16
-0.4610 0.9683 0.1595 19
-0.3792 0.9478 0.1623 16
-0.4352 0.9463 0.1567 13
-0.4346 0.9600 0.1627 14
-0.4248 0.9694 0.1569 13
-0.3711 0.9558 0.1533 20
-0.5085 0.9680 0.1487 16
-0.3324 0.9679 0.1509 13
-0.6546 0.9776 0.1528 14
-0.6282 0.9644 0.1557 14
-0.4181 0.9526 0.1605 14
-0.2421 0.9683 0.1618 10
-0.1805 0.9598 0.1620 14
-0.2947 0.9663 0.1670 17
-0.5525 0.9629 0.1598 12
-0.3835 0.9672 0.1625 12
-0.2403 0.9668 0.1611 17
-0.4636 0.9655 0.1582 16
-0.5671 0.9634 0.1556 12
-0.2205 0.9718 0.1543 18
-0.5737 0.9711 0.1495 11
-0.2036 0.9791 0.1492 13
-0.6602 0.9773 0.1491 13
-0.2346 0.9721 0.1461 13
-0.3177 0.9695 0.1495 20
-0.2152 0.9616 0.1521 18
-0.4217 0.9735 0.1566 12
-0.4324 0.9716 0.1495 12
-0.3157 0.9710 0.1549 19
-0.2929 0.9694 0.1526 15
-0.3025 0.9551 0.1533 19
-0.2166 0.9675 0.1547 12
-0.4529 0.9692 0.1525 13
-0.5834 0.9744 0.1532 15
0.1513 0.9823 0.1481 13
-0.2053 0.9646 0.1536 22
-0.4053 0.9613 0.1496 12
-0.4282 0.9698 0.1518 11
-0.3546 0.9738 0.1481 11
-0.5693 0.9732 0.1493 14
-0.2235 0.9749 0.1443 12
-0.3707 0.9621 0.1439 11
-0.3414 0.9798 0.1394 16
-0.2774 0.9755 0.1412 14
-0.2488 0.9781 0.1372 10
-0.2975 0.9759 0.1392 16
-0.2282 0.9681 0.1390 18
-0.4010 0.9871 0.1444 13
-0.6600 0.9790 0.1506 12
-0.4626 0.9634 0.1485 11
-0.3818 0.9561 0.1515 17
-0.3386 0.9598 0.1528 11
-0.3436 0.9648 0.1491 12
-0.3741 0.9653 0.1472 19
-0.3313 0.9746 0.1459 12
-0.2570 0.9672 0.1532 14
-0.3347 0.9720 0.1485 10
-0.1854 0.9681 0.1474 13
-0.4233 0.9701 0.1461 15
-0.4955 0.9800 0.1419 13
-0.2430 0.9655 0.1459 10
-0.3421 0.9794 0.1448 15
-0.4711 0.9646 0.1395 19
-0.2367 0.9748 0.1402 14
-0.1243 0.9689 0.1383 14
-0.4490 0.9827 0.1350 13
-0.2493 0.9688 0.1304 15
-0.2781 0.9776 0.1332 11
-0.4841 0.9693 0.1382 12
-0.3044 0.9747 0.1310 20
-0.4089 0.9774 0.1326 14
-0.0038 0.9806 0.1369 10
-0.3757 0.9647 0.1304 12
-0.4199 0.9704 0.1301 12
-0.2770 0.9699 0.1329 24
-0.2469 0.9648 0.1360 11
-0.3875 0.9645 0.1363 23
-0.3276 0.9824 0.1312 12
-0.5073 0.9753 0.1285 16
-0.4810 0.9735 0.1259 16
-0.2917 0.9769 0.1234 14
-0.1363 0.9732 0.1233 16
-0.0364 0.9773 0.1200 13
-0.3258 0.9754 0.1245 14
-0.3945 0.9712 0.1248 12
-0.2343 0.9672 0.1210 14
-0.3474 0.9778 0.1190 23
-0.3427 0.9812 0.1209 17
-0.2737 0.9754 0.1199 13
-0.3926 0.9783 0.1192 10
-0.3053 0.9778 0.1225 17
-0.5144 0.9742 0.1199 17
-0.3366 0.9668 0.1207 16
-0.4339 0.9801 0.1202 16
-0.4632 0.9723 0.1205 17
-0.2860 0.9680 0.1241 18
-0.3752 0.9744 0.1237 18
-0.3857 0.9731 0.1227 16
-0.2319 0.9814 0.1206 22
-0.1931 0.9752 0.1226 15
-0.4632 0.9825 0.1202 13
-0.2781 0.9801 0.1220 26
-0.2098 0.9803 0.1203 16
-0.3077 0.9704 0.1224 18
-0.1536 0.9764 0.1216 13
-0.2912 0.9821 0.1204 12
-0.2269 0.9872 0.1171 14
-0.3260 0.9728 0.1202 19
-0.3406 0.9778 0.1192 10
-0.3700 0.9804 0.1117 15
-0.4594 0.9793 0.1135 13
-0.3298 0.9740 0.1146 15
-0.4887 0.9794 0.1146 12
-0.5279 0.9748 0.1171 13
-0.2067 0.9763 0.1124 13
-0.5261 0.9794 0.1114 18
-0.3959 0.9831 0.1135 12
-0.2173 0.9821 0.1143 13
-0.2701 0.9711 0.1174 13
-0.5103 0.9775 0.1185 11
-0.3594 0.9731 0.1188 16
-0.4557 0.9739 0.1171 14
-0.4102 0.9819 0.1196 14
-0.6983 0.9867 0.1175 10
-0.0741 0.9761 0.1200 11
-0.3791 0.9808 0.1186 11
-0.3275 0.9730 0.1148 12
-0.4103 0.9813 0.1144 15
-0.2573 0.9736 0.1172 14
-0.2888 0.9748 0.1135 12
-0.4517 0.9796 0.1145 20
-0.1944 0.9730 0.1201 11
-0.3610 0.9777 0.1167 13
-0.2915 0.9766 0.1180 16
-0.3270 0.9784 0.1169 11
-0.2393 0.9791 0.1172 16
-0.3824 0.9755 0.1174 12
-0.2983 0.9734 0.1172 10
-0.3763 0.9860 0.1185 14
-0.6413 0.9866 0.1209 13
-0.2713 0.9760 0.1177 10
-0.3305 0.9758 0.1185 10
-0.4264 0.9820 0.1170 15
-0.5595 0.9766 0.1222 14
-0.1245 0.9847 0.1213 9
-0.2063 0.9801 0.1202 12
-0.5094 0.9778 0.1209 11
-0.2046 0.9825 0.1182 14
0.0222 0.9860 0.1165 13
-0.3218 0.9735 0.1190 12
-0.4567 0.9835 0.1211 11
-0.4939 0.9794 0.1163 15
-0.3878 0.9808 0.1130 13
-0.2868 0.9886 0.1148 13
-0.5150 0.9837 0.1170 12
-0.2375 0.9881 0.1182 11
-0.9684 0.9874 0.1211 14
-0.3478 0.9746 0.1195 17
-0.2150 0.9770 0.1172 16
-0.5285 0.9796 0.1153 13
-0.1239 0.9811 0.1158 16
-0.5416 0.9851 0.1177 13
-0.3318 0.9709 0.1176 14
-0.2758 0.9823 0.1181 14
-0.3310 0.9788 0.1177 15
-0.2871 0.9824 0.1154 13
-0.3712 0.9772 0.1127 13
-0.3907 0.9900 0.1145 14
-0.2813 0.9788 0.1167 17
-0.3150 0.9842 0.1150 12
-0.3583 0.9772 0.1112 12
-0.5163 0.9778 0.1115 16
-0.2642 0.9833 0.1111 16
-0.1789 0.9877 0.1123 14
-0.6118 0.9926 0.1111 13
-0.4595 0.9796 0.1132 11
-0.4196 0.9778 0.1121 11
-0.3227 0.9782 0.1158 12
-0.2641 0.9784 0.1176 12
-0.1808 0.9785 0.1155 18
-0.4467 0.9762 0.1132 11
-0.3310 0.9818 0.1149 11
-0.3719 0.9800 0.1159 12
-0.4827 0.9806 0.1143 15
-0.4572 0.9848 0.1130 13
-0.5457 0.9750 0.1198 12
-0.3299 0.9761 0.1212 20
-0.4630 0.9790 0.1195 18
-0.1992 0.9849 0.1243 13
0.1226 0.9924 0.1245 13
-0.6753 0.9782 0.1252 13
-0.2848 0.9724 0.1279 16
-0.2049 0.9829 0.1257 18
-0.3792 0.9758 0.1262 23
-0.4437 0.9827 0.1278 18
-0.1716 0.9821 0.1270 14
-0.1519 0.9810 0.1258 17
-0.2748 0.9786 0.1234 15
-0.2038 0.9798 0.1259 12
-0.2423 0.9802 0.1260 15
-0.1061 0.9785 0.1222 12
-0.2998 0.9728 0.1207 16
-0.2869 0.9781 0.1260 16
-0.3658 0.9759 0.1228 13
-0.2759 0.9779 0.1270 13
-0.3231 0.9759 0.1257 10
-0.2656 0.9756 0.1228 12
-0.3859 0.9801 0.1217 14
-0.3491 0.9788 0.1190 10
-0.1553 0.9788 0.1218 15
-0.2250 0.9775 0.1197 12
-0.2359 0.9722 0.1215 15
-0.3484 0.9799 0.1245 14
-0.4146 0.9755 0.1248 11
-0.3540 0.9738 0.1249 17
-0.3650 0.9737 0.1240 13
-0.2988 0.9759 0.1212 10
-0.4045 0.9800 0.1221 11
-0.2080 0.9775 0.1232 10
-0.2946 0.9713 0.1234 16
-0.2777 0.9711 0.1254 12
-0.3011 0.9769 0.1287 15
-0.2477 0.9785 0.1258 14
-0.6441 0.9759 0.1292 11
-0.5137 0.9701 0.1313 12
-0.3266 0.9721 0.1325 12
-0.5248 0.9758 0.1302 10
-0.0758 0.9792 0.1304 13
-0.5410 0.9785 0.1294 13
-0.3784 0.9733 0.1311 10
-0.4877 0.9843 0.1272 10
-0.3688 0.9730 0.1267 16
-0.2612 0.9838 0.1256 10
-0.4777 0.9811 0.1244 13
-0.4316 0.9720 0.1208 10
-0.5037 0.9826 0.1211 14
-0.3924 0.9817 0.1185 9
-0.2663 0.9830 0.1231 10
-0.1573 0.9726 0.1261 9
-0.3287 0.9722 0.1265 12
-0.4556 0.9710 0.1329 12
-0.5072 0.9772 0.1334 15
-0.5878 0.9806 0.1358 12
-0.2457 0.9812 0.1334 10
-0.4559 0.9709 0.1301 12
-0.2673 0.9816 0.1276 17
-0.1959 0.9783 0.1297 13
-0.1612 0.9770 0.1268 10
-0.3958 0.9777 0.1291 13
-0.1280 0.9816 0.1335 13
-0.5831 0.9757 0.1397 10
-0.2924 0.9771 0.1414 11
-0.5464 0.9657 0.1509 13
-0.4655 0.9704 0.1469 11
-0.3104 0.9708 0.1461 10
-0.2569 0.9687 0.1517 11
-0.3880 0.9686 0.1570 15
-0.4365 0.9666 0.1512 11
-0.3099 0.9675 0.1488 11
-0.4313 0.9702 0.1519 9
-0.3006 0.9702 0.1571 13
-0.4080 0.9487 0.1553 13
-0.4312 0.9594 0.1535 11
-0.2881 0.9728 0.1549 10
-0.3650 0.9650 0.1522 11
-0.2072 0.9670 0.1535 12
-0.2586 0.9631 0.1502 13
-0.2609 0.9684 0.1482 11
-0.4811 0.9627 0.1495 11
-0.4514 0.9621 0.1482 15
-0.4241 0.9743 0.1504 9
-0.4503 0.9594 0.1458 11
-0.4623 0.9708 0.1462 14
-0.2181 0.9638 0.1445 11
-0.4224 0.9726 0.1467 12
-0.1368 0.9763 0.1484 14
-0.5536 0.9688 0.1465 13
-0.3521 0.9600 0.1536 17
-0.3072 0.9701 0.1536 11
-0.5511 0.9660 0.1509 12
-0.2220 0.9674 0.1524 13
-0.3705 0.9592 0.1483 13
-0.4923 0.9637 0.1521 18
-0.3444 0.9718 0.1501 14
-0.3365 0.9654 0.1452 10
-0.3794 0.9665 0.1457 14
-0.3342 0.9665 0.1467 10
-0.3809 0.9693 0.1485 11
-0.2804 0.9567 0.1484 11
-0.4550 0.9625 0.1486 9
-0.3233 0.9749 0.1419 10
-0.4090 0.9765 0.1382 10
-0.3225 0.9689 0.1378 11
-0.4273 0.9727 0.1434 11
-0.3478 0.9633 0.1464 11
-0.4215 0.9636 0.1450 12
-0.4386 0.9707 0.1452 10
-0.3565 0.9634 0.1432 10
-0.3876 0.9719 0.1473 10
-0.2281 0.9673 0.1484 12
-0.2918 0.9680 0.1451 16
-0.2525 0.9598 0.1417 13
-0.3601 0.9672 0.1407 11
-0.3523 0.9727 0.1485 11
-0.4941 0.9736 0.1462 13
-0.3585 0.9788 0.1424 12
-0.4663 0.9752 0.1443 12
-0.3916 0.9729 0.1481 11
-0.4550 0.9703 0.1477 14
-0.4714 0.9687 0.1477 10
-0.4210 0.9647 0.1417 9
-0.3187 0.9694 0.1443 11
-0.4120 0.9646 0.1430 11
-0.2465 0.9760 0.1378 10
-0.2711 0.9770 0.1346 11
-0.5721 0.9761 0.1291 10
-0.2194 0.9743 0.1321 13
-0.4129 0.9652 0.1289 11
-0.3867 0.9753 0.1312 11
-0.4656 0.9757 0.1255 13
-0.3416 0.9841 0.1278 9
-0.6611 0.9835 0.1311 12
-0.4961 0.9778 0.1319 16
-0.2700 0.9754 0.1348 10
-0.1530 0.9764 0.1365 9
-0.4567 0.9746 0.1363 9
-0.1056 0.9805 0.1389 10
-0.4056 0.9746 0.1384 9
-0.3257 0.9781 0.1387 12
-0.5757 0.9788 0.1390 10
-0.5387 0.9717 0.1351 13
-0.2821 0.9712 0.1427 12
-0.1516 0.9646 0.1440 10
-0.3088 0.9657 0.1410 11
-0.4210 0.9698 0.1382 12
-0.4674 0.9728 0.1399 12
-0.4264 0.9766 0.1437 12
-0.2773 0.9781 0.1397 12
-0.3907 0.9725 0.1408 10
-0.3542 0.9697 0.1373 11
-0.4068 0.9750 0.1361 11
-0.2364 0.9845 0.1328 11
-0.5207 0.9874 0.1332 11
0.0812 0.9881 0.1336 10
-0.2323 0.9730 0.1338 11
-0.1883 0.9759 0.1338 11
-0.4931 0.9819 0.1340 10
-0.4075 0.9674 0.1297 11
-0.3701 0.9752 0.1318 9
-0.1075 0.9854 0.1300 10
-0.2706 0.9744 0.1317 8
-0.5413 0.9735 0.1328 10
-0.3649 0.9826 0.1326 11
-0.3315 0.9726 0.1339 13
-0.4993 0.9756 0.1317 9
-0.3853 0.9784 0.1351 9
0.0116 0.9881 0.1297 11
-0.2697 0.9764 0.1300 9
-0.3727 0.9751 0.1300 9
-0.3530 0.9792 0.1281 9
-0.4196 0.9765 0.1240 12
-0.3650 0.9762 0.1257 10
-0.5071 0.9726 0.1242 13
-0.2443 0.9758 0.1235 12
-0.6002 0.9809 0.1275 9
-0.4837 0.9798 0.1276 12
-0.4927 0.9799 0.1262 11
-0.3922 0.9788 0.1237 12
-0.3929 0.9795 0.1244 12
-0.2214 0.9828 0.1234 15
-0.3813 0.9757 0.1260 16
-0.3385 0.9720 0.1290 11
-0.5150 0.9851 0.1332 12
-0.2982 0.9784 0.1277 9
-0.3748 0.9781 0.1261 10
-0.2860 0.9859 0.1267 11
-0.1025 0.9830 0.1291 12
-0.3775 0.9834 0.1294 12
-0.1993 0.9804 0.1264 12
-0.2087 0.9747 0.1277 13
-0.2606 0.9774 0.1224 10
-0.2191 0.9805 0.1220 7
-0.3377 0.9821 0.1246 11
-0.1950 0.9807 0.1274 17
-0.4537 0.9757 0.1240 12
-0.1401 0.9839 0.1264 14
-0.3077 0.9872 0.1245 10
-0.1840 0.9859 0.1201 11
-0.4287 0.9847 0.1190 10
-0.4336 0.9805 0.1220 10
-0.2880 0.9823 0.1234 10
-0.4234 0.9809 0.1248 10
-0.4406 0.9804 0.1185 11
-0.3727 0.9754 0.1209 10
-0.4258 0.9845 0.1237 11
-0.1614 0.9886 0.1278 12
-0.4683 0.9714 0.1225 10
-0.3491 0.9789 0.1194 10
-0.5486 0.9796 0.1266 11
-0.2319 0.9805 0.1299 10
-0.3746 0.9810 0.1281 12
-0.2983 0.9861 0.1327 9
-0.3884 0.9727 0.1319 11
-0.2225 0.9817 0.1313 10
-0.4227 0.9787 0.1306 11
-0.3357 0.9762 0.1359 11
-0.3775 0.9764 0.1350 11
-0.4131 0.9778 0.1320 13
-0.3303 0.9726 0.1310 13
-0.3377 0.9777 0.1292 11
-0.3095 0.9819 0.1285 15
-0.4264 0.9754 0.1302 11
-0.5510 0.9818 0.1373 9
-0.3385 0.9793 0.1350 11
-0.3846 0.9776 0.1321 8
-0.2233 0.9793 0.1305 11
-0.0438 0.9805 0.1311 10
-0.5718 0.9762 0.1314 10
-0.2064 0.9736 0.1302 10
-0.6084 0.9786 0.1257 11
-0.5854 0.9783 0.1229 10
-0.3027 0.9723 0.1257 10
-0.4754 0.9695 0.1334 10
-0.2842 0.9666 0.1285 11
-0.5010 0.9741 0.1323 12
-0.3168 0.9762 0.1304 8
-0.1526 0.9818 0.1313 9
-0.4977 0.9817 0.1304 12
-0.5371 0.9816 0.1293 9
-0.4095 0.9815 0.1276 10
-0.4410 0.9788 0.1261 10
-0.4259 0.9731 0.1262 11
-0.4051 0.9798 0.1243 12
-0.5034 0.9778 0.1263 10
-0.3701 0.9821 0.1324 12
-0.5176 0.9744 0.1301 8
-0.4346 0.9747 0.1326 9
-0.5187 0.9814 0.1289 11
-0.1743 0.9802 0.1258 15
-0.0033 0.9877 0.1281 11
-0.2969 0.9842 0.1328 11
-0.1868 0.9813 0.1323 10
-0.2877 0.9802 0.1320 10
-0.0735 0.9713 0.1336 10
-0.3404 0.9658 0.1265 12
-0.4561 0.9779 0.1282 9
-0.4698 0.9848 0.1259 10
-0.7258 0.9841 0.1322 9
-0.3016 0.9729 0.1303 16
-0.5270 0.9814 0.1271 12
-0.3911 0.9826 0.1288 14
-0.7158 0.9839 0.1269 10
-0.5648 0.9815 0.1266 12
-0.3671 0.9788 0.1288 13
-0.0793 0.9802 0.1255 16
-0.1835 0.9792 0.1286 11
-0.6122 0.9814 0.1308 12
-0.4806 0.9808 0.1295 11
-0.5044 0.9864 0.1305 9
-0.3814 0.9765 0.1283 13
-0.3799 0.9920 0.1281 10
-0.4900 0.9798 0.1255 10
-0.3941 0.9872 0.1285 12
-0.3536 0.9821 0.1304 9
-0.2849 0.9761 0.1298 12
-0.3648 0.9690 0.1362 11
-0.4230 0.9772 0.1361 10
-0.6129 0.9749 0.1380 12
-0.1425 0.9760 0.1343 9
-0.4886 0.9682 0.1360 11
-0.4852 0.9714 0.1347 8
-0.3002 0.9790 0.1334 9
-0.4731 0.9705 0.1377 11
-0.5172 0.9743 0.1388 10
-0.5381 0.9715 0.1399 11
-0.3876 0.9700 0.1427 10
-0.4274 0.9774 0.1421 10
-0.3264 0.9674 0.1357 11
-0.4386 0.9807 0.1336 8
-0.5419 0.9850 0.1373 11
-0.3071 0.9797 0.1356 8
-0.5844 0.9759 0.1381 9
-0.3199 0.9767 0.1354 12
-0.3829 0.9773 0.1306 13
-0.4178 0.9759 0.1286 10
-0.3008 0.9866 0.1333 8
-0.1422 0.9745 0.1310 8
-0.4118 0.9816 0.1347 9
-0.2804 0.9895 0.1332 9
-0.4912 0.9840 0.1304 10
0.1706 0.9851 0.1290 12
-0.5528 0.9829 0.1293 13
-0.2800 0.9792 0.1285 11
-0.6828 0.9857 0.1232 13
-0.3564 0.9806 0.1218 14
-0.2290 0.9786 0.1261 14
-0.2506 0.9839 0.1260 11
-0.3048 0.9861 0.1231 11
-0.5968 0.9805 0.1188 11
-0.3775 0.9902 0.1187 12
-0.2454 0.9820 0.1208 10
-0.3767 0.9854 0.1217 13
-0.4121 0.9810 0.1217 14
-0.3076 0.9829 0.1295 11
-0.4892 0.9832 0.1289 12
-0.4741 0.9786 0.1321 13
-0.5504 0.9768 0.1328 12
-0.3195 0.9716 0.1339 14
-0.2810 0.9703 0.1334 14
-0.4266 0.9786 0.1351 18
-0.1553 0.9953 0.1361 13
-0.6812 0.9727 0.1330 14
-0.4107 0.9848 0.1401 11
0.0851 0.9774 0.1347 10
-0.2375 0.9840 0.1299 14
-0.7059 0.9803 0.1265 11
-0.1506 0.9775 0.1304 14
0.0272 0.9885 0.1345 14
-0.3075 0.9706 0.1324 13
-0.4003 0.9858 0.1321 13
-0.4143 0.9799 0.1321 11
-0.1714 0.9798 0.1297 10
-0.3540 0.9854 0.1297 14
-0.1216 0.9817 0.1312 12
-0.6113 0.9775 0.1237 12
-0.4883 0.9869 0.1297 15
-0.2073 0.9788 0.1306 15
-0.2825 0.9761 0.1319 17
-0.3642 0.9847 0.1277 13
-0.1720 0.9789 0.1303 12
-0.6587 0.9825 0.1324 12
-0.3255 0.9759 0.1385 16
-0.3392 0.9769 0.1295 10
-0.2127 0.9814 0.1322 15
-0.4873 0.9801 0.1340 14
-0.3146 0.9837 0.1295 12
-0.3981 0.9782 0.1286 15
-0.3436 0.9862 0.1348 9
-0.5644 0.9783 0.1338 12
-0.1306 0.9696 0.1306 15
-0.3370 0.9732 0.1332 15
-0.5464 0.9836 0.1347 13
-0.2907 0.9770 0.1348 15
-0.2461 0.9806 0.1377 13
-0.3398 0.9771 0.1343 17
-0.2040 0.9786 0.1387 16
-0.3499 0.9738 0.1406 13
-0.4510 0.9730 0.1368 14
-0.2315 0.9788 0.1352 15
-0.0895 0.9829 0.1336 12
-0.3849 0.9846 0.1323 15
-0.3786 0.9864 0.1356 12
-0.1502 0.9788 0.1351 16
-0.3343 0.9789 0.1336 12
-0.2052 0.9878 0.1350 11
-0.4553 0.9764 0.1362 12
-0.3319 0.9794 0.1375 14
-0.2647 0.9796 0.1344 16
-0.3251 0.9844 0.1313 14
0.0543 0.9913 0.1346 12
-0.5748 0.9834 0.1357 12
-0.0175 0.9831 0.1390 13
-0.3044 0.9864 0.1397 14
-0.3279 0.9732 0.1373 17
-0.2831 0.9785 0.1358 17
-0.5922 0.9812 0.1383 11
-0.2258 0.9785 0.1378 11
-0.4380 0.9866 0.1376 10
-0.2701 0.9855 0.1359 13
-0.1704 0.9882 0.1375 10
-0.2538 0.9801 0.1325 12
-0.4597 0.9867 0.1367 12
-0.2896 0.9783 0.1372 13
-0.0572 0.9818 0.1382 11
-0.1418 0.9838 0.1371 15
-0.4261 0.9828 0.1388 10
-0.2729 0.9798 0.1363 11
-0.3075 0.9747 0.1359 11
-0.3546 0.9810 0.1384 15
-0.2089 0.9920 0.1402 13
0.0981 0.9889 0.1366 12
-0.1377 0.9799 0.1354 18
-0.2349 0.9766 0.1378 13
-0.0977 0.9757 0.1362 12
-0.2886 0.9722 0.1319 11
-0.1963 0.9855 0.1310 16
-0.4518 0.9758 0.1310 17
-0.3642 0.9781 0.1291 17
-0.4540 0.9816 0.1284 14
-0.4184 0.9793 0.1272 17
-0.1460 0.9886 0.1288 15
-0.2373 0.9801 0.1276 16
-0.1297 0.9830 0.1242 17
-0.3376 0.9862 0.1244 15
-0.5782 0.9817 0.1255 22
-0.2324 0.9798 0.1296 11
-0.5005 0.9813 0.1258 10
-0.3783 0.9845 0.1260 12
-0.2426 0.9771 0.1226 19
-0.3748 0.9784 0.1261 14
-0.2076 0.9817 0.1242 11
-0.2812 0.9748 0.1261 10
-0.1637 0.9791 0.1264 9
-0.2512 0.9872 0.1264 14
-0.0363 0.9824 0.1226 12
-0.2810 0.9789 0.1232 11
-0.2794 0.9843 0.1238 12
-0.0122 0.9749 0.1250 9
-0.2794 0.9760 0.1226 12
-0.4102 0.9743 0.1248 16
-0.1976 0.9914 0.1283 14
-0.5138 0.9710 0.1337 14
-0.5007 0.9789 0.1360 14
-0.3132 0.9831 0.1322 16
-0.2504 0.9818 0.1332 13
0.0106 0.9850 0.1348 15
-0.2990 0.9844 0.1315 12
-0.4808 0.9836 0.1342 19
-0.3106 0.9734 0.1373 15
-0.4645 0.9767 0.1322 13
-0.1527 0.9766 0.1369 10
-0.3454 0.9820 0.1325 15
-0.1302 0.9868 0.1275 12
-0.3268 0.9802 0.1289 13
-0.3349 0.9676 0.1279 13
-0.3995 0.9742 0.1313 12
-0.3644 0.9827 0.1302 15
-0.3561 0.9777 0.1318 12
-0.5219 0.9865 0.1286 11
-0.5360 0.9902 0.1247 14
0.2523 0.9834 0.1219 11
-0.4409 0.9832 0.1241 15
-0.0115 0.9784 0.1186 11
-0.3307 0.9837 0.1181 12
-0.1279 0.9818 0.1195 11
-0.3447 0.9820 0.1221 15
-0.3100 0.9823 0.1228 11
-0.4644 0.9830 0.1206 11
-0.3740 0.9774 0.1178 18
-0.3185 0.9814 0.1215 11
-0.5366 0.9843 0.1224 17
-0.6397 0.9858 0.1231 11
-0.1605 0.9895 0.1239 12
-0.5956 0.9851 0.1233 9
-0.4837 0.9835 0.1205 9
-0.3466 0.9802 0.1237 9
-0.2835 0.9782 0.1250 9
-0.3098 0.9800 0.1234 13
-0.4977 0.9780 0.1229 13
-0.4621 0.9845 0.1234 12
-0.4266 0.9905 0.1254 9
-0.3628 0.9796 0.1234 12
-0.3845 0.9908 0.1283 9
-0.5701 0.9859 0.1231 10
-0.4739 0.9760 0.1204 12
-0.2126 0.9867 0.1171 13
-0.0890 0.9819 0.1145 12
-0.3306 0.9836 0.1172 12
-0.4888 0.9840 0.1175 12
-0.4347 0.9840 0.1180 14
-0.1462 0.9825 0.1169 11
-0.4909 0.9909 0.1215 12
0.1001 0.9835 0.1181 10
-0.2003 0.9846 0.1167 11
-0.3522 0.9804 0.1183 11
-0.2958 0.9800 0.1193 13
-0.3149 0.9852 0.1169 11
-0.3110 0.9859 0.1180 12
-0.2254 0.9790 0.1190 11
-0.4612 0.9888 0.1167 12
-0.1544 0.9806 0.1177 12
-0.2168 0.9832 0.1188 12
-0.1751 0.9751 0.1197 9
-0.4350 0.9774 0.1213 14
-0.3637 0.9861 0.1223 12
-0.4560 0.9839 0.1142 10
-0.5133 0.9850 0.1084 11
-0.3833 0.9908 0.1056 10
-0.3379 0.9898 0.1064 11
-0.2069 0.9845 0.1085 9
-0.4196 0.9890 0.1062 9
-0.7411 0.9861 0.1055 13
-0.2846 0.9787 0.1007 13
-0.3498 0.9876 0.1012 14
-0.3617 0.9865 0.1051 13
-0.2697 0.9833 0.1018 11
-0.1624 0.9903 0.1043 13
-0.4072 0.9821 0.1005 12
-0.2954 0.9863 0.0968 12
-0.3433 0.9843 0.0957 10
-0.4648 0.9902 0.0970 11
-0.5101 0.9850 0.0932 13
-0.3776 0.9886 0.0956 10
-0.5030 0.9881 0.0963 11
-0.1483 0.9885 0.0956 13
-0.2083 0.9844 0.0969 11
-0.2515 0.9809 0.0991 14
-0.2498 0.9899 0.0989 15
-0.3789 0.9837 0.0990 11
-0.3209 0.9854 0.0970 11
-0.3182 0.9838 0.1007 12
-0.4532 0.9869 0.0992 14
-0.3356 0.9826 0.0988 14
-0.4349 0.9795 0.1036 15
-0.3767 0.9843 0.1025 9
-0.3775 0.9777 0.1044 12
-0.4698 0.9793 0.1054 13
-0.3137 0.9854 0.1042 11
-0.5875 0.9791 0.1104 10
-0.4086 0.9789 0.1104 11
-0.4725 0.9819 0.1115 8
-0.4227 0.9826 0.1099 9
-0.1589 0.9840 0.1130 13
-0.3688 0.9838 0.1092 11
-0.3408 0.9834 0.1082 14
-0.4098 0.9753 0.1080 11
-0.1842 0.9877 0.1090 14
-0.3201 0.9872 0.1017 13
-0.5987 0.9806 0.1017 9
-0.2917 0.9883 0.1035 10
-0.5699 0.9890 0.1029 12
-0.7206 0.9877 0.1014 9
-0.2778 0.9852 0.1040 11
-0.2199 0.9878 0.1037 10
